city,lat_min,lon_min,lat_max,lon_max
hualpen,-37.020098,-73.273315,-36.613323,-72.978745
Viña del Mar,-33.065651,-71.590691,-32.912739,-71.485634
santiago,-33.676354,-70.885162,-33.266250,-70.442276
la serena,-29.992705,-71.305733,-29.848982,-71.192093
antofagasta,-23.708038,-70.436783,-23.511423,-70.366058
calama,-22.516997,-69.000835,-22.411505,-68.860073
iquique,-20.309535,-70.170708,-20.193096,-70.072689
arica,-18.506633,-70.354900,-18.420662,-70.259285
villa allemana,-33.087227,-71.478424,-33.016149,-71.317406
rancagua,-34.205840,-70.796585,-34.116352,-70.626640